,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Lee Peltier,-0.5,0,0,12,0,10.8,600,5,0,2.8,17.0,90,0,0,0,0,5,0,0.0,0,40,1,0,0
1,Oskar Buur,-0.5,0,0,0,0,0.0,467,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,39,0,0,0
2,Kieran Tierney,3.0,0,0,23,1,27.2,17,0,0,4.4,15.0,90,0,0,0,0,1,0,2.0,6,53,0,0,18
3,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,1,0,0
4,James Bree,0.0,0,0,0,0,0.0,43,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
5,Branislav Ivanovic,-0.2,0,0,4,0,0.3,530,1,0,1.5,14.6,45,0,0,0,0,5,0,0.0,1,45,1,0,0
6,Max Lowe,0.5,0,0,0,0,0.0,511,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,43,0,0,0
7,Brandon Williams,0.5,0,0,0,0,0.0,318,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,42,1,0,0
8,William Saliba,0.5,0,0,0,0,0.0,27,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,0,0,0
9,Pascal Struijk,2.7,0,0,26,1,1.0,211,0,0,2.3,22.0,90,0,0,0,0,5,0,0.0,6,39,0,0,1
10,Gary Cahill,0.0,0,0,0,0,0.0,125,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
11,Joel Ward,0.5,0,0,0,0,0.0,134,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,43,1,0,7
12,Luke Ayling,2.8,0,0,28,1,1.8,197,0,0,3.4,23.6,90,0,0,0,0,5,0,9.0,6,45,0,0,1
13,Neil Taylor,-0.5,0,0,0,0,0.0,31,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,43,0,0,0
14,Tyrick Mitchell,-0.2,0,0,11,0,0.4,146,1,0,2.1,20.2,90,0,0,0,0,1,1,0.0,2,39,1,0,6
15,Neco Williams,2.0,0,0,0,0,0.0,264,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,0,0,0
16,Ethan Ampadu,1.8,0,0,14,0,22.9,509,1,0,3.3,10.2,66,0,0,0,0,0,1,0.0,2,43,0,0,1
17,Çaglar Söyüncü,0.4,0,0,0,0,0.0,238,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,53,0,0,1
18,Craig Dawson,1.0,0,0,18,1,0.1,576,0,0,1.5,11.0,90,0,0,0,0,0,0,4.0,6,45,0,0,6
19,Kyle Walker-Peters,4.7,0,0,22,1,5.4,375,0,0,3.6,7.6,90,0,0,0,0,0,0,23.0,5,48,1,1,6
20,Rayan Ait Nouri,0.2,0,0,13,0,2.3,563,1,0,4.1,15.6,90,0,0,0,0,0,1,23.0,2,50,0,0,1
21,Joel Matip,4.7,0,0,0,0,0.0,246,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,55,0,0,0
22,Fabián Balbuena,0.8,0,0,0,0,0.0,443,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,44,0,0,0
23,Trent Alexander-Arnold,4.7,0,0,23,1,22.2,259,0,0,5.2,16.2,90,0,0,0,0,0,0,14.0,6,72,0,0,2
24,Sokratis Papastathopoulos,0.0,0,0,0,0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,48,0,0,0
25,Jonathan Castro Otto,0.0,0,0,0,0,0.0,462,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,54,0,0,0
26,Kelland Watts,0.0,0,0,0,0,0.0,342,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,39,1,0,0
27,Reece James,1.8,0,0,0,0,0.0,123,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,52,1,0,0
28,Jamal Lewis,-0.4,0,0,3,0,0.0,513,0,0,0.0,0.0,4,0,0,0,0,0,0,0.0,1,43,1,0,0
29,Patrick van Aanholt,1.0,0,0,0,0,0.0,139,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,54,1,0,0
30,Jamaal Lascelles,0.0,0,0,0,0,0.0,328,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,43,1,0,0
31,Issa Diop,0.3,0,0,0,0,0.0,451,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,43,0,0,0
32,John Egan,1.8,0,0,10,0,1.2,353,1,0,0.9,7.2,90,0,0,0,0,0,1,1.0,2,47,0,0,1
33,Angelo Ogbonna,3.7,0,0,21,1,0.4,432,0,0,1.4,13.8,90,0,0,0,0,0,0,0.0,6,50,0,0,7
34,Virgil van Dijk,0.0,0,0,0,0,0.0,250,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,63,0,0,0
