,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,0.7,0,0,0,0,1.3,78,0,0,1.9,0.0,11,0,0,0,0,0,1,18.0,1,52,1,0,1
1,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,82,0,0,0
2,Jean-Philippe Mateta,0.0,0,0,0,0,0.0,641,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,60,1,0,0
3,Neal Maupay,3.5,0,0,4,1,23.6,68,0,0,5.1,4.4,78,0,0,0,0,0,1,23.0,1,61,1,1,2
4,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,57,1,0,0
5,Niall Huggins,-0.5,0,0,0,0,0.0,619,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,0,0,0
6,Shane Long,0.2,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,51,1,0,0
7,Jamie Vardy,0.0,0,0,0,0,0.0,224,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,100,1,0,0
8,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,0,0,0
9,Kelechi Iheanacho,0.9,0,0,0,0,0.0,233,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,56,1,0,6
10,Gabriel Fernando de Jesus,3.8,0,3,32,1,16.1,282,0,1,10.9,36.4,90,0,0,0,0,0,1,56.0,9,91,1,0,9
11,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,48,1,0,0
12,Richarlison de Andrade,1.7,0,0,7,0,14.0,166,2,0,5.3,14.0,90,0,0,0,0,2,0,25.0,2,78,1,0,2
13,Danny Welbeck,0.0,0,0,0,0,0.0,588,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,55,1,0,0
14,Edward Nketiah,0.4,0,0,3,0,0.0,22,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,1,54,1,0,0
15,Timo Werner,2.2,0,0,4,1,23.7,117,0,0,8.8,17.0,90,0,0,0,0,0,2,47.0,2,92,1,0,5
16,Ollie Watkins,4.0,0,0,-3,1,3.4,514,0,0,8.8,16.6,90,0,0,0,0,1,0,68.0,2,62,0,0,6
17,Roberto Firmino,4.2,1,0,15,0,13.5,249,1,0,3.5,19.6,21,0,0,0,0,3,1,2.0,4,94,0,0,2
18,Che Adams,1.2,0,0,-3,0,11.5,377,0,0,7.2,7.6,25,0,0,0,0,1,0,53.0,1,59,1,0,2
19,Hal Robson-Kanu,0.4,0,0,0,0,0.0,408,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,52,1,0,1
20,Andi Zeqiri,-0.3,0,0,0,0,0.0,574,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,50,1,0,1
21,Carlos Vinicius Alves Morais,1.3,0,0,5,0,11.6,564,0,0,8.1,11.0,45,0,0,0,0,0,1,58.0,1,69,0,0,2
22,Christian Benteke,2.2,0,0,0,0,0.0,132,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,55,1,0,1
23,Cheikh Diaby,0.0,0,0,0,0,0.0,621,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,45,1,0,0
24,Charlie Austin,0.0,0,0,0,0,0.0,415,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,51,1,0,0
25,Ashley Barnes,0.8,0,0,0,0,0.0,87,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,60,0,0,0
26,Albian Ajeti,0.0,0,0,0,0,0.0,447,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,55,1,0,0
27,Danny Ings,3.2,0,0,11,0,26.0,366,1,0,7.0,8.8,90,0,0,0,0,1,0,35.0,2,84,1,0,2
28,Bobby Decordova-Reid,2.4,0,1,25,0,12.3,181,2,1,7.7,33.8,71,0,0,0,0,2,2,31.0,7,53,0,0,1
29,Michy Batshuayi,1.8,0,0,0,1,24.3,108,0,0,4.7,3.0,78,0,0,0,0,0,1,20.0,2,57,1,0,2
30,Ademipo Odubeko,-1.0,0,0,0,0,0.0,638,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,0
31,Harry Kane,0.0,0,0,0,0,0.0,388,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,112,0,0,0
32,Edinson Cavani,2.6,0,0,-3,1,15.1,569,0,0,2.7,0.0,90,0,0,0,0,0,0,15.0,2,79,0,0,5
33,Florin Andone,0.0,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,1,0,0
34,Fabio Silva,2.2,0,0,3,0,0.0,504,0,0,0.2,0.2,12,0,0,0,0,0,1,2.0,1,52,0,0,1
35,Chris Wood,2.2,0,0,3,0,1.8,91,1,0,0.5,0.0,61,0,0,0,0,0,2,4.0,2,62,0,0,0
36,Connor Wickham,0.0,0,0,0,0,0.0,136,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,44,1,0,0
37,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,1,0,0
38,Patrick Cutrone,0.5,0,0,0,0,0.0,626,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,59,0,0,0
39,Mbwana Samatta,0.0,0,0,0,0,0.0,49,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,59,0,0,0
40,Lys Mousset,-0.6,0,0,0,0,0.0,359,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,58,0,0,0
41,Joel Mumbongo,-0.8,0,0,1,0,1.2,613,1,0,0.1,0.0,14,0,0,0,0,0,2,0.0,1,45,0,0,0
42,Max Thompson,-1.0,0,0,0,0,0.0,591,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,45,0,0,0
43,Michael Obafemi,0.0,0,0,0,0,0.0,381,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,46,1,0,0
44,Dominic Calvert-Lewin,1.3,0,0,2,0,16.8,164,2,0,5.7,11.2,90,0,0,0,0,2,0,29.0,2,76,1,0,9
45,David McGoldrick,1.6,0,0,1,0,0.5,344,0,0,0.5,2.6,28,0,0,0,0,0,1,2.0,1,52,0,0,1
46,Yoshinori Muto,0.0,0,0,0,0,0.0,341,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,48,0,0,0
47,Antwoine Hackford,-0.8,0,0,0,0,0.0,618,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,0,0,0
48,Daniel N'Lundulu,0.8,0,0,0,0,0.0,590,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,1,0,0
49,Aleksandar Mitrović,1.8,1,2,28,0,57.6,184,2,0,11.6,37.2,90,0,0,0,0,2,2,21.0,7,55,0,0,2
50,Anthony Martial,1.8,0,0,2,0,22.3,303,0,0,6.1,10.4,53,0,0,0,0,0,0,28.0,1,88,0,0,13
51,Jay Rodriguez,0.0,0,0,3,0,0.5,86,1,0,0.5,2.2,33,0,0,0,0,0,2,2.0,1,58,0,0,2
52,Joelinton Cássio Apolinário de Lira,0.7,0,0,0,0,0.0,340,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,57,0,0,0
53,Ellis Simms,0.0,0,0,0,0,0.0,596,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,1,0,0
54,Patrick Bamford,4.5,2,3,56,0,35.3,202,1,1,16.6,74.2,90,0,0,0,0,3,1,56.0,15,66,0,0,5
55,Karlan Grant,0.8,0,0,7,0,2.4,582,1,0,2.8,6.6,66,0,0,0,0,2,2,19.0,2,58,1,0,1
56,Callum Robinson,3.0,0,0,2,0,0.8,358,1,0,0.0,0.0,45,0,0,0,0,2,2,0.0,1,54,1,0,2
57,Oliver McBurnie,-0.2,0,0,2,0,0.5,357,0,0,0.3,2.6,12,0,0,0,0,0,1,0.0,1,56,0,0,1
58,Sergio Agüero,0.0,0,0,0,0,0.0,268,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,103,1,0,0
59,Jordan Ayew,2.6,1,0,22,1,24.4,140,0,0,5.3,25.0,90,0,0,0,0,0,1,4.0,5,56,1,0,1
60,Michail Antonio,5.2,0,0,5,0,1.0,437,2,0,4.9,8.0,78,0,0,0,0,3,1,40.0,2,65,1,0,8
61,Callum Wilson,4.3,0,3,42,1,3.6,506,0,2,15.8,73.0,90,0,0,0,0,2,0,81.0,13,66,0,0,5
62,Leonardo Campana,0.0,0,0,0,0,0.0,476,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,0,0,0
63,Keinan Davis,0.2,0,0,0,0,0.0,50,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,43,0,0,0
64,Odion Ighalo,0.0,0,0,0,0,0.0,293,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,61,0,0,0
65,Olivier Giroud,1.8,0,0,0,0,0.0,103,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,67,1,0,0
66,Rhian Brewster,0.2,0,0,6,0,1.1,262,1,0,1.2,2.2,61,0,0,0,0,0,1,9.0,2,45,0,0,0
67,Andy Carroll,2.0,0,0,0,0,0.0,320,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,52,0,0,1
68,Willian José Da Silva,1.5,0,0,3,0,1.9,642,1,0,6.9,7.0,90,0,0,0,0,0,1,60.0,2,70,0,0,5
69,Indiana Vassilev,0.0,0,0,0,0,0.0,51,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,43,0,0,0
70,Wesley Moraes,0.0,0,0,0,0,0.0,48,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,60,0,0,0
71,Sébastien Haller,0.0,0,0,0,0,0.0,441,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,61,1,0,0
