,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Ramsdale,2.8,0,0,26,0,10.0,483,1,0,5.2,42.0,90,0,0,0,7,1,0,0.0,4,50,1,0,2
1,Adrián San Miguel del Castillo,0.5,0,0,0,0,0.0,245,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,45,1,0,0
2,Alex McCarthy,2.7,0,0,26,1,0.0,363,0,0,1.5,14.6,90,0,0,0,2,1,0,0.0,6,45,0,0,9
3,Alisson Ramses Becker,6.2,0,0,16,0,0.0,252,1,0,2.4,24.0,90,0,0,0,2,1,3,0.0,2,60,1,0,0
4,Alphonse Areola,0.7,0,0,11,0,0.0,516,3,0,1.9,19.2,90,0,0,0,2,3,0,0.0,1,45,1,0,3
5,Angus Gunn,0.0,0,0,0,0,0.0,371,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
6,Bailey Peacock-Farrell,0.0,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
7,Bernd Leno,3.5,0,1,22,0,0.0,8,3,0,3.6,35.8,90,0,0,0,5,1,3,0.0,3,50,0,0,2
8,Christian Walton,0.0,0,0,0,0,0.0,503,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,40,1,0,0
9,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,45,1,0,0
10,Danny Ward,-0.5,0,0,0,0,0.0,223,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,45,0,0,0
11,Darren Randolph,0.0,0,0,0,0,0.0,430,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,45,1,0,0
12,David Button,-1.0,0,0,0,0,0.0,56,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,40,1,0,0
13,David de Gea,2.5,0,0,13,0,0.0,291,2,0,2.6,25.8,90,0,0,0,3,3,2,0.0,2,55,0,0,-1
14,David Martin,0.0,0,0,0,0,0.0,429,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,40,1,0,0
15,Dean Henderson,1.0,0,0,0,0,0.0,305,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,55,0,0,0
