,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,1.3,0,0,12,1,3.0,565,0,0,1.3,10.0,90,0,0,0,0,0,0,0.0,3,45,0,0,0
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,61,1,0,0
2,Juan Mata,0.8,0,0,0,0,0.0,290,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,59,0,0,0
3,Oliver Norwood,0.3,0,0,8,0,57.5,349,1,0,6.5,7.8,27,0,0,0,0,1,0,0.0,1,46,1,0,1
4,Wilfried Zaha,5.0,0,0,0,0,11.7,141,3,0,4.7,9.2,90,0,0,0,0,0,3,26.0,1,75,0,1,7
5,Ryan Fraser,0.5,0,0,0,0,0.0,507,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,56,0,0,0
6,Cengiz Ünder,0.5,0,0,0,0,0.0,541,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,58,1,0,0
7,Hélder Wander Sousa de Azevedo e Costa,0.8,0,0,0,0,0.0,205,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,52,1,0,1
8,Dennis Praet,0.7,0,0,0,0,0.0,225,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,53,1,0,2
9,Mark Noble,0.7,0,0,4,0,16.9,427,1,0,2.1,4.0,45,0,0,0,0,2,2,0.0,1,46,1,0,0
10,Jordan Henderson,5.8,0,0,18,0,29.4,244,1,0,5.3,21.0,90,0,0,0,0,1,1,3.0,2,54,1,0,3
11,Curtis Jones,3.2,0,0,12,0,11.3,263,1,0,2.1,9.4,82,0,0,0,0,1,1,0.0,2,44,1,0,3
12,Matt Ritchie,-0.2,0,0,2,0,0.7,322,2,0,0.3,2.4,65,0,0,0,0,0,2,0.0,1,49,0,1,3
13,Jesse Lingard,0.0,0,0,0,0,0.0,301,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,59,0,0,0
14,Robbie Brady,1.7,0,0,0,0,0.0,95,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,50,0,0,6
15,Jeff Hendrick,0.8,0,0,0,0,0.0,485,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,47,0,0,0
16,Mace Goodridge,-0.5,0,0,0,0,0.0,551,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,0,0,0
17,Youri Tielemans,2.5,0,1,22,0,4.6,228,2,0,3.9,18.0,90,0,0,0,0,2,2,16.0,3,64,1,0,1
18,Oliver Burke,1.7,0,0,1,0,2.0,424,0,0,2.7,6.0,45,0,0,0,0,1,0,19.0,1,44,1,0,0
19,Bruno Miguel Borges Fernandes,8.3,1,3,39,0,40.4,302,2,1,14.6,58.4,90,0,0,0,0,2,2,47.0,12,110,0,1,6
20,Jack Jenkins,0.5,0,0,0,0,0.0,599,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,1,0,0
21,James Garner,0.0,0,0,0,0,0.0,317,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,44,0,0,0
