,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
16,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,824870,3,1,0.0,0,0,0,0,40,True,0,1
174,Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.5,0,0,0,0,0.0,75,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,14,0,0,0,0,2,0,812242,3,0,0.0,0,-58911,35034,93945,40,False,0,2
370,Bernardo Fernandes da Silva Junior,DEF,Brighton,-1.0,0,0,0,0,0.0,75,19,0,0,0.0,0.0,2020-09-26T11:30:00Z,0,13,0,0,0,0,3,0,752348,3,2,0.0,0,-72543,36950,109493,40,True,0,3
570,Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.5,0,0,0,0,0.0,75,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,7,0,0,0,0,4,0,707680,2,4,0.0,0,-51451,17214,68665,40,False,0,4
777,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,6,0,0,0,0,5,0,649911,1,1,0.0,0,-59866,14879,74745,40,False,0,5
1055,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.5,0,0,0,0,0.0,75,51,0,0,0.0,0.0,2020-10-26T17:30:00Z,0,18,0,0,0,0,6,0,623688,1,1,0.0,0,-31149,14584,45733,40,True,0,6
1270,Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.2,0,0,3,0,1.1,75,67,1,0,0.7,4.2,2020-11-01T19:15:00Z,25,17,0,0,0,0,7,0,604138,1,2,2.0,1,-21501,8272,29773,40,False,0,7
1487,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.2,0,0,0,0,0.0,75,70,0,0,0.0,0.0,2020-11-06T17:30:00Z,0,4,0,0,0,0,8,0,629056,0,0,0.0,0,14327,37838,23511,39,True,0,8
1705,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.2,0,0,0,0,0.0,75,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,2,0,0,0,0,9,0,643372,2,1,0.0,0,10827,45796,34969,39,False,0,9
1923,Bernardo Fernandes da Silva Junior,DEF,Brighton,-1.0,0,0,0,0,0.0,75,90,0,0,0.0,0.0,2020-11-28T12:30:00Z,0,11,0,0,0,0,10,0,640669,1,1,0.0,0,-3069,18022,21091,39,True,0,10
2134,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,100,0,0,0.0,0.0,2020-12-07T20:00:00Z,0,16,0,0,0,0,11,0,632302,2,1,0.0,0,-11119,13883,25002,39,True,0,11
2340,Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.5,0,0,0,0,0.0,75,114,0,0,0.0,0.0,2020-12-13T19:15:00Z,0,9,0,0,0,0,12,0,622145,0,3,0.0,0,-7578,9025,16603,39,False,0,12
2559,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.5,0,0,0,0,0.0,75,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,8,0,0,0,0,13,0,618431,0,0,0.0,0,-4608,8070,12678,39,False,0,13
2778,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,15,0,0,0,0,14,0,612086,1,1,0.0,0,-6529,6932,13461,39,True,0,14
2997,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,19,0,0,0,0,15,0,606161,2,2,0.0,0,-7771,11032,18803,39,False,0,15
3193,Bernardo Fernandes da Silva Junior,DEF,Brighton,-0.2,0,0,14,0,28.7,75,149,1,0,10.4,8.4,2020-12-29T18:00:00Z,90,1,0,0,0,0,16,0,594143,1,0,67.0,2,-11771,4133,15904,39,True,0,16
3381,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.3,0,0,0,0,0.0,75,159,0,0,0.0,0.0,2021-01-02T17:30:00Z,0,20,0,0,0,0,17,0,583972,3,3,0.0,0,-10994,6929,17923,39,True,0,17
3560,Bernardo Fernandes da Silva Junior,DEF,Brighton,0.7,0,0,13,0,2.6,75,178,1,0,1.7,14.6,2021-01-13T18:00:00Z,90,12,0,0,0,0,18,0,623941,0,1,0.0,2,-15863,15333,31196,39,False,0,18
