,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
232,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,15,0,0,0,0,2,0,721,0,1,0.0,0,-171,47,218,45,True,0,2
429,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,22,0,0,0.0,0.0,2020-09-28T16:45:00Z,0,8,0,0,0,0,3,0,645,3,0,0.0,0,-97,9655,9752,45,False,0,3
629,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,11,0,0,0,0,4,0,595,2,7,0.0,0,-64,29,93,45,True,0,4
837,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,9,0,0,0,0,5,0,567,1,0,0.0,0,-32,32,64,45,False,0,5
967,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,10,0,0,0,0,6,0,550,3,0,0.0,0,-23,17,40,45,True,0,6
1182,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,59,0,0,0.0,0.0,2020-11-01T12:00:00Z,0,16,0,0,0,0,7,0,533,4,3,0.0,0,-19,6,25,45,True,0,7
1399,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,69,0,0,0.0,0.0,2020-11-08T19:15:00Z,0,1,0,0,0,0,8,0,531,3,0,0.0,0,-5,5,10,45,False,0,8
1617,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,3,0,0,0,0,9,0,517,2,1,0.0,0,-15,5,20,45,True,0,9
1835,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,98,0,0,0.0,0.0,2020-11-30T20:00:00Z,0,19,0,0,0,0,10,0,511,1,2,0.0,0,-7,1,8,45,False,0,10
2252,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,118,0,0,0.0,0.0,2020-12-12T12:30:00Z,0,20,0,0,0,0,12,0,518,1,0,0.0,0,1,8,7,45,False,0,12
2471,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,120,0,0,0.0,0.0,2020-12-17T18:00:00Z,0,4,0,0,0,0,13,0,511,0,0,0.0,0,-8,1,9,45,True,0,13
2690,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,18,0,0,0,0,14,0,516,3,0,0.0,0,3,6,3,45,False,0,14
2909,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,6,0,0,0,0,15,0,513,0,3,0.0,0,-2,8,10,45,True,0,15
3128,James Bree,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,151,0,0,0.0,0.0,2020-12-28T17:30:00Z,0,5,0,0,0,0,16,0,512,1,1,0.0,0,-2,6,8,45,False,0,16
