,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
282,Will Norris,GK,Burnley,1.5,0,0,0,0,0.0,583,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,18,0,0,0,0,5,0,0,0,0,0.0,0,0,0,0,40,False,0,5
344,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,52,0,0,0.0,0.0,2020-10-26T20:00:00Z,0,17,0,0,0,0,6,0,2488,1,0,0.0,0,1944,2114,170,40,True,0,6
412,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,60,0,0,0.0,0.0,2020-10-31T15:00:00Z,0,5,0,0,0,0,7,0,4210,3,0,0.0,0,1361,1620,259,40,True,0,7
480,Will Norris,GK,Burnley,0.0,0,0,0,0,0.0,583,70,0,0,0.0,0.0,2020-11-06T17:30:00Z,0,3,0,0,0,0,8,0,4443,0,0,0.0,0,-20,782,802,40,False,0,8
548,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,80,0,0,0.0,0.0,2020-11-23T17:30:00Z,0,6,0,0,0,0,9,0,5782,0,1,0.0,0,935,1486,551,40,True,0,9
616,Will Norris,GK,Burnley,-1.5,0,0,0,0,0.0,583,95,0,0,0.0,0.0,2020-11-28T15:00:00Z,0,12,0,0,0,0,10,0,6620,0,5,0.0,0,699,999,300,40,False,0,10
678,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,101,0,0,0.0,0.0,2020-12-05T12:30:00Z,0,7,0,0,0,0,11,0,7558,1,1,0.0,0,577,1163,586,40,True,0,11
748,Will Norris,GK,Burnley,-1.0,0,0,0,0,0.0,583,109,0,0,0.0,0.0,2020-12-13T19:15:00Z,0,1,0,0,0,0,12,0,7417,1,0,0.0,0,-25,630,655,40,False,0,12
818,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,120,0,0,0.0,0.0,2020-12-17T18:00:00Z,0,2,0,0,0,0,13,0,7695,0,0,0.0,0,166,444,278,40,False,0,13
889,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,20,0,0,0,0,14,0,7866,1,2,0.0,0,123,370,247,40,True,0,14
960,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,10,0,0,0,0,15,0,8550,0,1,0.0,0,422,706,284,40,False,0,15
1016,Will Norris,GK,Burnley,-0.5,0,0,0,0,0.0,583,150,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,15,0,0,0,0,16,0,8772,0,1,0.0,0,197,475,278,40,True,0,16
1128,Will Norris,GK,Burnley,-2.0,0,0,0,0,0.0,583,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,13,0,0,0,0,18,0,27664,1,0,0.0,0,1116,1870,754,40,True,0,18
