,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
175,Xherdan Shaqiri,MID,Liverpool,2.8,0,0,0,0,0.0,247,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,4288,3,4,0.0,0,0,0,0,65,True,0,1
395,Xherdan Shaqiri,MID,Liverpool,0.4,0,0,0,0,0.0,247,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,5,0,0,0,0,2,0,3332,2,0,0.0,0,-1142,45,1187,65,False,0,2
624,Xherdan Shaqiri,MID,Liverpool,0.5,0,0,0,0,0.0,247,23,0,0,0.0,0.0,2020-09-28T19:00:00Z,0,1,0,0,0,0,3,0,2993,1,3,0.0,0,-540,98,638,64,True,0,3
855,Xherdan Shaqiri,MID,Liverpool,1.5,0,0,0,0,0.0,247,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,2,0,0,0,0,4,0,3379,2,7,0.0,0,-44,242,286,64,False,0,4
1091,Xherdan Shaqiri,MID,Liverpool,0.5,0,0,0,0,0.0,247,41,0,0,0.0,0.0,2020-10-17T11:30:00Z,0,7,0,0,0,0,5,0,3515,2,2,0.0,0,-254,206,460,64,False,0,5
1230,Xherdan Shaqiri,MID,Liverpool,1.0,0,0,0,0,0.0,247,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,15,0,0,0,0,6,0,3716,1,2,0.0,0,-58,182,240,64,True,0,6
1467,Xherdan Shaqiri,MID,Liverpool,2.0,1,0,17,0,15.7,247,63,0,0,3.5,19.6,2020-10-31T17:30:00Z,20,19,0,0,0,0,7,0,3912,1,2,0.0,4,-32,187,219,64,True,0,7
1705,Xherdan Shaqiri,MID,Liverpool,1.2,0,0,6,0,0.9,247,75,0,0,0.6,2.8,2020-11-08T16:30:00Z,31,12,0,0,0,0,8,0,4344,1,1,2.0,1,187,426,239,64,False,0,8
1944,Xherdan Shaqiri,MID,Liverpool,2.2,0,0,0,0,0.0,247,83,0,0,0.0,0.0,2020-11-22T19:15:00Z,0,9,0,0,0,0,9,0,4971,0,3,0.0,0,268,632,364,64,True,0,9
2183,Xherdan Shaqiri,MID,Liverpool,0.7,0,0,0,0,0.0,247,90,0,0,0.0,0.0,2020-11-28T12:30:00Z,0,3,0,0,0,0,10,0,4532,1,1,0.0,0,-450,96,546,64,False,0,10
