name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Aaron Cresswell,DEF,West Ham,2.1,0,0,11,0,11.2,435,6,2,0,2.2,10.4,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,70232,2,0,0.0,1,0,0,0,50,True,0,1
Adam Webster,DEF,Brighton,0.6,0,0,14,0,11.8,66,7,3,0,2.8,14.8,2020-09-14T19:15:00Z,90,5,0,0,0,0,1,0,187445,3,1,1.0,1,0,0,0,45,True,0,1
Ahmed El-Sayed Hegazy,DEF,West Brom,0.6,0,0,0,0,0.0,414,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,74895,3,0,0.0,0,0,0,0,45,True,0,1
Ainsley Maitland-Niles,DEF,Arsenal,3.1,0,0,21,1,2.8,15,2,0,0,1.7,10.2,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,112927,3,0,4.0,6,0,0,0,50,False,0,1
Alfie Mawson,DEF,Fulham,0.0,0,0,0,0,0.0,185,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,1789,3,0,0.0,0,0,0,0,45,True,0,1
Andreas Christensen,DEF,Chelsea,3.1,0,0,14,0,0.7,116,7,1,0,2.1,17.8,2020-09-14T19:15:00Z,90,3,0,0,0,0,1,0,17362,3,1,2.0,2,0,0,0,50,False,0,1
Andrew Robertson,DEF,Liverpool,5.1,1,0,20,0,19.6,255,3,3,0,4.7,23.4,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,766431,3,4,4.0,4,0,0,0,70,True,0,1
Angelo Ogbonna,DEF,West Ham,2.1,0,0,14,0,1.1,432,6,2,0,3.7,30.0,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,25125,2,0,6.0,1,0,0,0,50,True,0,1
Antonee Robinson,DEF,Fulham,0.6,0,0,0,0,0.0,484,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,7957,3,0,0.0,0,0,0,0,45,True,0,1
Antonio Rüdiger,DEF,Chelsea,3.1,0,0,0,0,0.0,109,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,133067,3,1,0.0,0,0,0,0,50,False,0,1
Arthur Masuaku,DEF,West Ham,1.6,0,0,0,0,0.0,442,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,15272,2,0,0.0,0,0,0,0,45,True,0,1
Barry Douglas,DEF,Leeds,-0.5,0,0,0,0,0.0,196,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,920095,3,4,0.0,0,0,0,0,40,False,0,1
Benjamin Chilwell,DEF,Chelsea,0.0,0,0,0,0,0.0,232,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,72270,3,1,0.0,0,0,0,0,55,False,0,1
Ben Davies,DEF,Spurs,2.6,0,0,15,0,35.5,395,4,1,0,9.2,20.2,2020-09-13T15:30:00Z,90,7,0,0,0,0,1,0,155868,1,0,36.0,2,0,0,0,50,True,0,1
Ben Johnson,DEF,West Ham,1.0,0,0,0,0,0.0,452,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,161367,2,0,0.0,0,0,0,0,40,True,0,1
Ben White,DEF,Brighton,0.6,0,0,16,0,0.8,74,7,3,0,1.5,14.2,2020-09-14T19:15:00Z,78,5,0,0,0,0,1,0,103827,3,1,0.0,1,0,0,0,45,True,0,1
Bernardo Fernandes da Silva Junior,DEF,Brighton,0.0,0,0,0,0,0.0,75,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,824870,3,1,0.0,0,0,0,0,40,True,0,1
Calum Chambers,DEF,Arsenal,0.0,0,0,0,0,0.0,13,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,1043,3,0,0.0,0,0,0,0,45,False,0,1
Cameron Carter-Vickers,DEF,Spurs,1.5,0,0,0,0,0.0,521,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,14540,1,0,0.0,0,0,0,0,40,True,0,1
Cedric Kipre,DEF,West Brom,0.6,0,0,0,0,0.0,499,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,4451,3,0,0.0,0,0,0,0,45,True,0,1
Christian Fuchs,DEF,Leicester,1.3,0,0,0,0,0.0,218,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,1369,3,0,0.0,0,0,0,0,45,False,0,1
Chris Basham,DEF,Sheffield Utd,2.1,0,0,14,0,1.5,345,8,2,0,1.5,11.4,2020-09-14T17:00:00Z,70,20,0,0,0,0,1,0,135308,2,0,2.0,1,0,0,0,50,True,0,1
Ciaran Clark,DEF,Newcastle,0.4,0,0,0,0,0.0,324,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,3326,2,0,0.0,0,0,0,0,45,False,0,1
Conor Coady,DEF,Wolves,2.1,0,2,29,1,0.0,459,8,0,0,2.2,22.0,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,0,556410,2,0,0.0,8,0,0,0,50,False,0,1
Conor Townsend,DEF,West Brom,0.5,0,0,0,0,0.0,418,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,4560,3,0,0.0,0,0,0,0,45,True,0,1
Cyrus Christie,DEF,Fulham,0.6,0,0,0,0,0.0,179,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,10166,3,0,0.0,0,0,0,0,45,True,0,1
Cédric Soares,DEF,Arsenal,3.1,0,0,0,0,0.0,5,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,35774,3,0,0.0,0,0,0,0,50,False,0,1
César Azpilicueta,DEF,Chelsea,3.9,0,0,3,0,0.5,102,7,0,0,0.3,0.4,2020-09-14T19:15:00Z,5,3,0,0,0,0,1,0,469354,3,1,2.0,1,0,0,0,60,False,0,1
Daniel Amartey,DEF,Leicester,2.0,0,0,0,0,0.0,227,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,86735,3,0,0.0,0,0,0,0,40,False,0,1
Danny Rose,DEF,Spurs,2.6,0,0,0,0,0.0,384,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,24146,1,0,0.0,0,0,0,0,50,True,0,1
