name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,60,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,2010,3,1,0.0,0,0,0,0,50,True,0,1
Abdoulaye Doucouré,MID,Everton,1.3,0,0,20,1,44.6,512,4,0,0,6.9,20.4,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,143040,1,0,4.0,3,0,0,0,55,False,0,1
Aboubakar Kamara,MID,Fulham,0.4,0,0,-2,0,1.8,190,2,3,0,0.2,0.0,2020-09-12T11:30:00Z,62,1,0,0,0,0,1,0,6711,3,0,5.0,2,0,0,0,50,True,0,1
Adama Traoré,MID,Wolves,2.2,0,0,6,1,1.8,465,8,0,0,3.2,12.8,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,0,1189095,2,0,17.0,3,0,0,0,65,False,0,1
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,199,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,2009,3,4,0.0,0,0,0,0,50,False,0,1
Adam Lallana,MID,Brighton,1.2,0,0,6,0,27.2,54,7,1,0,3.6,6.8,2020-09-14T19:15:00Z,44,5,0,0,0,0,1,0,78657,3,1,2.0,1,0,0,0,65,True,0,1
Adrien Silva,MID,Leicester,2.0,0,0,0,0,0.0,220,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,39204,3,0,0.0,0,0,0,0,45,False,0,1
Alexis Mac Allister,MID,Brighton,0.8,0,0,0,0,0.0,80,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,3939,3,1,0.0,0,0,0,0,55,True,0,1
Alex Iwobi,MID,Everton,1.6,0,0,0,0,0.0,159,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10789,1,0,0.0,0,0,0,0,60,False,0,1
Alex Oxlade-Chamberlain,MID,Liverpool,1.9,0,0,0,0,0.0,248,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,3207,3,4,0.0,0,0,0,0,65,True,0,1
Alireza Jahanbakhsh,MID,Brighton,0.8,0,0,3,0,0.7,71,7,0,0,0.5,4.4,2020-09-14T19:15:00Z,11,5,0,0,0,0,1,0,3104,3,1,0.0,1,0,0,0,55,True,0,1
Allan Marques Loureiro,MID,Everton,1.3,0,0,16,1,3.4,502,4,0,0,2.1,18.0,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,75335,1,0,0.0,3,0,0,0,55,False,0,1
Allan Saint-Maximin,MID,Newcastle,1.8,0,0,7,1,2.8,338,6,0,0,1.2,3.8,2020-09-12T19:00:00Z,74,19,0,0,0,0,1,0,1361562,2,0,5.0,3,0,0,0,55,False,0,1
Andriy Yarmolenko,MID,West Ham,2.1,0,0,-1,0,1.6,436,6,1,0,3.0,2.8,2020-09-12T19:00:00Z,23,14,0,0,0,0,1,0,14140,2,0,26.0,0,0,0,0,60,True,1,1
Andros Townsend,MID,Crystal Palace,2.1,1,2,26,1,33.7,137,1,0,0,6.4,28.4,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,0,16534,0,1,2.0,8,0,0,0,60,True,0,1
André Filipe Tavares Gomes,MID,Everton,1.3,0,0,11,1,3.3,158,4,0,0,2.7,3.8,2020-09-13T15:30:00Z,67,17,0,0,0,0,1,0,21001,1,0,20.0,3,0,0,0,55,False,0,1
André-Frank Zambo Anguissa,MID,Fulham,0.0,0,0,4,0,11.8,191,2,0,0,2.6,14.4,2020-09-12T11:30:00Z,27,1,0,0,0,0,1,0,50068,3,0,0.0,1,0,0,0,45,True,0,1
Anthony Gordon,MID,Everton,0.5,0,0,0,0,0.0,168,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,49378,1,0,0.0,0,0,0,0,45,False,0,1
Anthony Knockaert,MID,Fulham,0.8,0,0,0,0,0.0,177,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,12640,3,0,0.0,0,0,0,0,55,True,0,1
Ayoze Pérez,MID,Leicester,3.2,0,0,5,1,2.5,229,5,0,0,2.7,0.0,2020-09-13T13:00:00Z,66,18,0,0,0,0,1,0,215629,3,0,24.0,3,0,0,0,65,False,0,1
Bamidele Alli,MID,Spurs,3.2,0,0,3,0,11.9,394,4,0,0,4.1,8.4,2020-09-13T15:30:00Z,45,7,0,0,0,0,1,0,237638,1,0,21.0,1,0,0,0,80,True,0,1
Ben Osborn,MID,Sheffield Utd,1.4,0,0,0,0,0.0,356,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,2316,2,0,0.0,0,0,0,0,50,True,0,1
Bernard Anício Caldeira Duarte,MID,Everton,1.6,0,0,0,0,0.0,154,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10689,1,0,0.0,0,0,0,0,60,False,0,1
Billy Gilmour,MID,Chelsea,0.0,0,0,0,0,0.0,124,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,10890,3,1,0.0,0,0,0,0,45,False,0,1
Brandon Pierrick,MID,Crystal Palace,1.0,0,0,0,0,0.0,147,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,6682,0,1,0.0,0,0,0,0,45,True,0,1
Bruno André Cavaco Jordao,MID,Wolves,1.0,0,0,0,0,0.0,475,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,35928,2,0,0.0,0,0,0,0,45,False,0,1
Bukayo Saka,MID,Arsenal,2.8,0,0,0,0,0.0,24,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,491508,3,0,0.0,0,0,0,0,55,False,0,1
Callum Hudson-Odoi,MID,Chelsea,3.1,0,0,3,0,1.3,122,7,0,0,0.2,0.8,2020-09-14T19:15:00Z,10,3,0,0,0,0,1,0,28187,3,1,0.0,1,0,0,0,60,False,0,1
Cheikhou Kouyaté,MID,Crystal Palace,1.4,0,0,3,1,0.3,133,1,0,0,3.0,12.6,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,0,14565,0,1,17.0,3,0,0,0,50,True,0,1
Christian Atsu,MID,Newcastle,1.8,0,0,0,0,0.0,330,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,5623,2,0,0.0,0,0,0,0,55,False,0,1
Christian Pulisic,MID,Chelsea,3.9,0,0,0,0,0.0,119,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,650190,3,1,0.0,0,0,0,0,85,False,0,1
Curtis Jones,MID,Liverpool,2.5,0,0,2,0,13.3,263,3,1,0,1.8,2.4,2020-09-12T16:30:00Z,24,10,0,0,0,0,1,0,32021,3,4,2.0,1,0,0,0,45,True,0,1
Dale Stephens,MID,Brighton,0.0,0,0,0,0,0.0,55,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,849631,3,1,0.0,0,0,0,0,45,True,0,1
Daniel Castelo Podence,MID,Wolves,1.8,1,0,23,1,18.3,469,8,0,0,4.4,25.8,2020-09-14T17:00:00Z,75,15,0,0,0,0,1,0,17314,2,0,0.0,6,0,0,0,55,False,0,1
Daniel Ceballos Fernández,MID,Arsenal,2.4,0,0,6,0,1.3,501,2,0,0,1.1,5.2,2020-09-12T11:30:00Z,12,8,0,0,0,0,1,0,115657,3,0,4.0,1,0,0,0,50,False,0,1
Davy Pröpper,MID,Brighton,0.2,0,0,0,0,0.0,59,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,6355,3,1,0.0,0,0,0,0,50,True,0,1
Declan Rice,MID,West Ham,1.4,0,0,15,0,14.5,448,6,2,0,4.4,21.6,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,305763,2,0,8.0,2,0,0,0,50,True,0,1
Demarai Gray,MID,Leicester,2.8,0,0,0,0,0.0,230,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,12401,3,0,0.0,0,0,0,0,55,False,0,1
Dennis Praet,MID,Leicester,2.8,1,0,25,1,16.8,225,5,0,0,7.8,27.8,2020-09-13T13:00:00Z,74,18,0,0,0,0,1,0,4535,3,0,33.0,6,0,0,0,55,False,0,1
Diogo Jota,MID,Wolves,2.2,0,0,0,0,0.0,468,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,215812,2,0,0.0,0,0,0,0,65,False,0,1
Eberechi Eze,MID,Crystal Palace,1.6,0,0,3,0,8.8,489,1,0,0,1.7,4.4,2020-09-12T14:00:00Z,9,16,0,0,0,0,1,0,33257,0,1,4.0,1,0,0,0,60,True,0,1
Emile Smith Rowe,MID,Arsenal,0.0,0,0,0,0,0.0,23,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,17820,3,0,0.0,0,0,0,0,45,False,0,1
Erik Lamela,MID,Spurs,2.6,0,0,0,0,0.0,387,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,10931,1,0,0.0,0,0,0,0,60,True,0,1
Fabian Delph,MID,Everton,0.4,0,0,0,0,0.0,149,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,3638,1,0,0.0,0,0,0,0,50,False,0,1
Fabio Henrique Tavares,MID,Liverpool,3.3,1,0,13,0,1.0,253,3,1,0,0.7,4.2,2020-09-12T16:30:00Z,32,10,0,0,0,0,1,0,76886,3,4,2.0,4,0,0,0,55,True,0,1
Felipe Anderson Pereira Gomes,MID,West Ham,2.2,0,0,5,0,0.3,440,6,0,0,0.3,2.4,2020-09-12T19:00:00Z,1,14,0,0,0,0,1,0,32372,2,0,0.0,1,0,0,0,65,True,0,1
Gabriel Teodoro Martinelli Silva,MID,Arsenal,0.0,0,0,0,0,0.0,26,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,2608,3,0,0.0,0,0,0,0,50,False,0,1
Gedson Carvalho Fernandes,MID,Spurs,1.9,0,0,0,0,0.0,401,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,6161,1,0,0.0,0,0,0,0,50,True,0,1
Georginio Wijnaldum,MID,Liverpool,3.3,0,0,9,0,23.0,243,3,3,0,7.4,15.8,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,120632,3,4,35.0,2,0,0,0,55,True,0,1
Giovani Lo Celso,MID,Spurs,2.2,0,0,0,0,0.0,403,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,55175,1,0,0.0,0,0,0,0,70,True,0,1
Grady Diangana,MID,West Brom,0.8,0,0,3,0,12.8,446,5,3,0,2.7,4.8,2020-09-13T13:00:00Z,90,9,0,0,0,0,1,0,37744,3,0,9.0,2,0,0,0,55,True,0,1
